auteur,commentaire,likes,date_publication
@skatebox5377,Mais moad c’est pas un acteur qui a joué dans la cité rose ???,1,2025-06-14T06:09:44Z
@adamispalest5695,4:09 « c’était à Noël le 20 décembre »,0,2025-06-14T02:37:42Z
@Théo-musiqueoff,Moad le boss,0,2025-06-13T23:32:02Z
@isabelle2842,Générique de fin 👏🏽👏🏽👏🏽,0,2025-06-13T18:58:54Z
@AnielaKablouti-r6q,Coucou ❤😊,0,2025-06-13T18:46:33Z
@meekyattsu6576,"Mais vous vous rendez pas compte, squeezie c la celebrité de nos celebrités genre",0,2025-06-13T18:43:09Z
@clairebertin5239,Incroyable de voir les chirurgiens avec qui je bosse j’étais pas prête 😂 et oui Caroline est incroyable,0,2025-06-13T18:17:46Z
@elinstr6286,Les profs de maths ….,1,2025-06-13T18:05:12Z
@matteopiermanni7522,"En vrai pour le problème Squeezie a eu 26 parce que il a calculé le temps pour chaque quartier, sauf que pour le temps perdu il a foiré parce que a considéré tout de même les 4 quartiers. Pour chaque quartier, il aurait du rajouter juste les 30 secondes, 0.5min. 2km, vitesse 5km/h, donc 2/5=0,4h, 0.4*60=24min, considerant temp perdu 25+0.5=24.5 total pour 4 quartiers 98 min, 1h 38min.",0,2025-06-13T15:46:13Z
@MBougnon,Ne réinvitez pas des personnes comme ça SVP ! C'est très gênant !,2,2025-06-13T12:35:23Z
@Sokayami,La mangeuh,0,2025-06-13T00:52:46Z
@juliettem3611,Caroline laisse un peu de beauté aux autres femmes stp c’est galère là,0,2025-06-13T00:31:04Z
@David-v1c7h,Elle a l'air trop sympas Caroline en vrai !!,0,2025-06-12T18:36:20Z
@l3bouller,35:03 SDM jattend le son,1,2025-06-12T12:15:46Z
@npdgavakin1635,12:57 la mangheuuuh😂😂,0,2025-06-12T11:24:19Z
@zoranolugner89,"Mec Jean-Pierre, chui spécialisé dans tous qui chirurgie ehmm avec ses mains ' des genoux ' il ma tué c'est le meilleur depuis avec le gars pilote",0,2025-06-12T08:58:08Z
@jooldschool680,"Ah oui la trafic de drogue c'est drôle. Des gamins qui se font flinguer, des familles qui voient leurs parents crever d'overdose, l'exportation d'argent à l'étranger détruisant l'économie française...
Très drôle.",1,2025-06-11T23:13:20Z
@masikvmpy,"""De la mangueuh""😂😂😂😂😂😂",1,2025-06-11T22:40:54Z
@maujeanoceane1326,"Woah mais pour l'exercice de math j'ai fait tellement plus simple 🤣 un produit en croix suffisait, par contre pour la deuxième question j'ai trouvé exactement comme lui 1h36min et 25 200, par contre j'ai pas compris la question avec la voiture (l'angoisse de l'école est revenue mdr)",0,2025-06-11T21:16:28Z
@Drawing_girlDS,ptn je me suis fait bz frr g cru que les gens qui font de claquettes ils fesaient des vraies claquettes tu vois celui avec lequel ma mere peut viser (tqt elle est rebeux) et ca me sort des danseurs💀💀💀,0,2025-06-11T16:42:57Z
@MeilineMarty,Jp qui devient chirurgien à 25 ans et qui a donc commencé ses études à 13 ans c’est pour m’abattre 🤣,0,2025-06-11T13:38:22Z
@TonyLaborier,Fergus= Phillip Gallagher :),0,2025-06-11T13:21:38Z
@Testanossa,Le petit Eric Judor au début m'a tué 😂😂😂,0,2025-06-11T12:42:49Z
@SamieMachie,La maNGue,0,2025-06-11T08:43:08Z
@Alicia_21_11,C la 3 ème fois Que je regarde cette vidéo...,0,2025-06-10T21:05:34Z
@elkdzai,salut squezie est que ta boisson Ciao c sans alcol,1,2025-06-10T19:36:58Z
@mipanszouzouzouzoumipans7233,21:16,0,2025-06-10T17:44:40Z
@IbrahimNinetySeven,C’est ma première d’une longue rencontre squeezie vous m’avez régalé 😂❤️,0,2025-06-10T11:47:02Z
@starknight4357,"7:31 ""IL EST ARRIVÉ APRÈS MOI""",0,2025-06-10T11:21:41Z
@naveckprim,Ce sont des exercices de physique ou de mathématiques les ga🤦🏽‍♂️,0,2025-06-09T23:37:43Z
@GloriousRexImper33,Big up aux montages lors des récits d'opération de Caroline (~40') : je ris encore !,0,2025-06-09T20:00:22Z
@clemolette,Le monteur qui utilise toute la banque de sons ?? Insupportable,0,2025-06-09T14:18:44Z
